,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
23,3113.91,3143.31,3170.38,3214.1600000000003,3466.3300000000004,inf,3019.26,3225.21,3294.03,inf,650.0,603.74,671.1,4008.73,4025.6,4144.01,4033.18,4050.5499999999997,4089.93,inf,inf,inf,inf,0.0,inf,inf,4064.35,4131.47,inf,inf,inf,inf,inf,4032.47,2599.76,inf,2163.1200000000003,2236.75,inf,inf,inf,inf,2538.79,2374.13,1471.7399999999998,1648.04,1778.9699999999998,1971.85,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2477.24,2687.34,inf,inf,2828.29,3093.89,inf,2499.42,inf,2207.1,2407.44,inf,inf,inf,1988.61,1806.55,1847.88,1916.76,2015.46,1951.21,2763.3199999999997,991.0999999999999,1120.1399999999999,307.08,3764.6,inf,1937.44
24,3155.13,3184.5299999999997,3211.6000000000004,3255.38,3507.55,inf,3060.4800000000005,3266.4300000000003,3335.25,inf,691.22,644.96,712.3199999999999,4049.95,4066.8199999999997,4185.23,4074.3999999999996,4091.7699999999995,4131.15,inf,inf,inf,21.92,41.22,0.0,inf,4105.57,4172.69,inf,inf,inf,inf,inf,4073.6899999999996,2640.9800000000005,inf,2204.34,2277.9700000000003,inf,inf,inf,inf,2580.01,2415.3500000000004,1512.9599999999998,1689.26,1820.1899999999998,2013.07,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2518.46,2728.5600000000004,inf,inf,2869.51,3135.1099999999997,inf,2540.6400000000003,inf,2248.3199999999997,2448.66,inf,inf,inf,2029.83,1847.77,1889.1000000000001,1957.98,2056.6800000000003,1992.43,2804.54,1032.32,1161.36,348.29999999999995,3805.8199999999997,inf,1978.66
25,3151.99,3181.39,3208.46,3252.2400000000002,3504.4100000000003,inf,3057.34,3263.29,3332.11,inf,688.0799999999999,641.8199999999999,709.1800000000001,4046.81,4063.68,4182.09,4071.2599999999998,4088.6299999999997,4128.01,inf,inf,inf,inf,38.08,inf,0.0,4102.43,4169.55,inf,inf,inf,inf,inf,4070.5499999999997,2637.84,inf,2201.2000000000003,2274.83,inf,inf,inf,inf,2576.87,2412.21,1509.8199999999997,1686.12,1817.0499999999997,2009.9299999999998,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2515.3199999999997,2725.42,inf,inf,2866.37,3131.97,inf,2537.5,inf,2245.18,2445.52,inf,inf,inf,2026.69,1844.63,1885.96,1954.8400000000001,2053.54,1989.29,2801.3999999999996,1029.1799999999998,1158.2199999999998,345.15999999999997,3802.68,inf,1975.52
26,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,67.12,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
27,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
28,3172.17,3201.57,3228.6400000000003,3272.4200000000005,3524.5900000000006,inf,3077.5200000000004,3283.4700000000003,3352.2900000000004,inf,708.26,662.0,729.3600000000001,4066.9900000000002,4083.86,4202.27,4091.44,4108.81,4148.1900000000005,67.48,281.88,inf,313.34,332.64,335.26,inf,4122.610000000001,4189.7300000000005,0.0,inf,inf,inf,inf,4090.73,2658.0200000000004,inf,2221.38,2295.01,inf,inf,inf,inf,2597.05,2432.3900000000003,1530.0,1706.3000000000002,1837.23,2030.1100000000001,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2535.5,2745.6000000000004,inf,inf,2886.55,3152.15,inf,2557.6800000000003,inf,2265.36,2465.7000000000003,inf,inf,inf,2046.87,1864.81,1906.1400000000003,1975.02,2073.7200000000003,2009.4700000000003,2821.58,1049.3600000000001,1178.4,365.34000000000003,3822.86,325.92,1995.7000000000003
29,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,636.04,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2202.76,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
30,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1566.72,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
31,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,542.76,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2067.02,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
32,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
